case_id,source_row,skill_name,d2_enabled,has_expected_answer,has_target_state,has_gold_chain,d3_candidate,d3_priority,attachment_count,reference_artifact_count,annotation_status,user_query
EL260529F-0024,26,ijp-blue-oled-rca,False,False,False,True,True,primary,1,0,,请解读接下来上传的这份报告， 从根因分析的角度，剖析说明厚度变化对BI和寿命变化影响的底层原因。
EL260529F-0025,27,gh-blend-design-advisor,False,False,False,True,True,primary,1,0,,针对我即将发送的一份报告，请调用“gh-blend-design-advisor”这个skill进行分析和解读。然后输出⼀个最优绿光 EML 层组合⽅案，表格列出。要求：(1) ⻓寿命⽅案 效率>210 cd/A、LT95@J25>90h；(2) ⾼效率⽅案 效率>240 cd/A、LT95@J25>70h。
EL260529F-0026,28,molecular-structure-generator,False,False,False,True,True,primary,0,0,,"请根据以下分子和条件，生成5个新的分子。
“c1ccc(N2c3ccccc3B3c4ccccc4N(c4ccccc4)c4cccc2c43)cc1”；""HOMO"": -5.4,
""LUMO"": -2.45,
""S1"": 2.74,
""T1"": 2.93"
EL260529F-0027,29,molecular-structure-generator,False,False,False,True,True,primary,0,0,,"请根据以下分子和条件，生成5个新的分子。“c1ccc(-c2ccc(-c3c4ccccc4c(-c4cccc5oc6ccccc6c45)c4ccccc34)c3oc4ccccc4c23)cc1”
""HOMO"": -5.55,
""LUMO"": -2.73,
""S1"": 3.09,
""T1"": 1.65"
EL260529F-0028,30,molecular-structure-generator,False,False,False,True,True,primary,0,0,,"请根据以下分子和条件，生成5个新的分子。 ""c1ccc2c(-c3ccc4c(c3)Sc3c(ccc5ccc6ccccc6c35)O4)cccc2c1“
""HOMO"": -5.20,
""LUMO"": -2.70,
""S1"": 2.93,
""T1"": 2.54"
EL260529F-0029,31,,False,False,False,False,True,primary,0,0,,HOMO 能级深浅与氧化难易到底是什么关系？同时，为什么蓝光 OLED 材料在器件中仍然常被认为稳定性更差？
EL260529F-0030,32,,False,False,False,False,True,primary,0,0,,蓝光 OLED 器件是否可以取消 L-aging / electrical aging？应该如何判断 aging 带来的寿命、稳定性和良率收益，是否值得用效率损失、产线时间和部分寿命消耗来交换？
EL260529F-0031,33,,False,False,False,False,True,primary,0,0,,印刷 OLED 的真正瓶颈，是发光材料本身，还是“墨水化之后的成膜物理”？
EL260529F-0032,34,,False,False,False,False,True,primary,0,0,,对印刷 RGB OLED 来说，蓝光寿命问题是否仍然是决定产业化节奏的第一瓶颈？
EL260529F-0033,35,,False,False,False,False,True,primary,0,0,,正交溶剂体系是否足以解决多层印刷 OLED 的界面问题？
EL260529F-0034,36,,False,False,False,False,True,primary,0,0,,印刷 OLED 的发光层，是应该追求“均匀混合”，还是有意利用可控相分离？
EL260529F-0035,37,,False,False,False,False,True,primary,0,0,,IJP OLED 的优势到底是低成本，还是它能打开蒸镀 OLED 做不到的新器件/像素设计？
